complaint_id,complaint_number,complaint_category,priority,status,agent_name,created_date,resolved_date,sla_hours,resolution_time_hours,is_sla_breached,customer_region,product_line,feedback_rating
1,ETL-2024-0001,Account Issues,low,closed,John Smith,2024-09-26,2024-09-26,72,20.2,0,North,Healthcare,3.9
2,ETL-2024-0002,Billing Issues,high,in_progress,Emily Davis,2024-08-13,,24,,0,West,Banking,
3,ETL-2024-0003,Billing Issues,medium,resolved,John Smith,2024-11-19,2024-11-19,48,5.9,0,West,Banking,4.5
4,ETL-2024-0004,Delivery Delays,critical,pending_customer,Sarah Johnson,2024-01-13,,4,,1,West,Retail,
5,ETL-2024-0005,Billing Issues,high,assigned,Mike Chen,2024-11-09,,24,,0,West,Retail,
6,ETL-2024-0006,Billing Issues,low,escalated,Carlos Ramos,2024-01-18,,72,,1,East,Banking,
7,ETL-2024-0007,Product Defects,medium,closed,Priya Patel,2024-09-21,2024-09-23,48,57.1,1,Central,Banking,3.8
8,ETL-2024-0008,Service Disruption,medium,closed,David Lee,2024-06-04,2024-06-04,48,13.4,0,East,Retail,5.0
9,ETL-2024-0009,Technical Problems,high,escalated,Emma Wilson,2024-07-24,,24,,0,South,Retail,
10,ETL-2024-0010,Customer Service Complaints,medium,closed,Emily Davis,2024-01-10,2024-01-11,48,40.5,0,South,Telecom,2.6
11,ETL-2024-0011,Delivery Delays,high,closed,Sarah Johnson,2024-10-08,2024-10-11,24,80.2,1,Central,Telecom,5.0
12,ETL-2024-0012,Account Issues,medium,escalated,John Smith,2024-04-14,,48,,0,North,Logistics,
13,ETL-2024-0013,Product Defects,medium,in_progress,Mike Chen,2024-01-14,,48,,0,North,Healthcare,
14,ETL-2024-0014,Technical Problems,medium,assigned,Carlos Ramos,2024-08-14,,48,,0,Central,Retail,
15,ETL-2024-0015,Technical Problems,medium,resolved,Priya Patel,2024-11-25,2024-11-25,48,21.9,0,South,Telecom,3.7
16,ETL-2024-0016,Billing Issues,medium,closed,David Lee,2024-06-25,2024-06-26,48,28.8,0,West,Retail,3.3
17,ETL-2024-0017,Service Disruption,low,pending_customer,Emma Wilson,2024-10-06,,72,,0,East,Retail,
18,ETL-2024-0018,Technical Problems,high,open,Emily Davis,2024-11-23,,24,,0,Central,Telecom,
19,ETL-2024-0019,Technical Problems,critical,resolved,Sarah Johnson,2024-02-08,2024-02-08,4,2.0,0,West,Healthcare,3.9
20,ETL-2024-0020,Technical Problems,high,closed,Emily Davis,2024-03-13,2024-03-13,24,8.4,0,Central,Retail,2.7
21,ETL-2024-0021,Customer Service Complaints,critical,open,Mike Chen,2024-07-14,,4,,0,Central,Retail,
22,ETL-2024-0022,Product Defects,low,closed,Priya Patel,2024-06-10,2024-06-10,72,14.3,0,Central,Banking,3.9
23,ETL-2024-0023,Billing Issues,low,closed,David Lee,2024-09-09,2024-09-11,72,64.9,0,Central,Logistics,4.1
24,ETL-2024-0024,Account Issues,critical,assigned,Emma Wilson,2024-01-07,,4,,0,East,Banking,
25,ETL-2024-0025,Product Defects,low,assigned,Carlos Ramos,2024-09-05,,72,,0,North,Logistics,
26,ETL-2024-0026,Billing Issues,critical,closed,John Smith,2024-12-21,2024-12-21,4,2.0,0,West,Healthcare,4.4
27,ETL-2024-0027,Billing Issues,medium,assigned,Sarah Johnson,2024-02-02,,48,,0,West,Telecom,
28,ETL-2024-0028,Customer Service Complaints,high,in_progress,Emma Wilson,2024-06-19,,24,,0,North,Banking,
29,ETL-2024-0029,Technical Problems,critical,closed,Mike Chen,2024-07-10,2024-07-10,4,7.3,1,Central,Healthcare,3.1
30,ETL-2024-0030,Account Issues,low,closed,Priya Patel,2024-09-08,2024-09-09,72,29.7,0,Central,Healthcare,4.3
31,ETL-2024-0031,Service Disruption,medium,escalated,David Lee,2024-08-20,,48,,0,North,Banking,
32,ETL-2024-0032,Delivery Delays,critical,resolved,Carlos Ramos,2024-03-03,2024-03-03,4,6.4,1,North,Banking,3.5
33,ETL-2024-0033,Service Disruption,high,closed,John Smith,2024-06-20,2024-06-20,24,3.0,0,West,Telecom,3.7
34,ETL-2024-0034,Delivery Delays,high,resolved,Emily Davis,2024-11-26,2024-11-26,24,14.0,0,South,Healthcare,4.4
35,ETL-2024-0035,Billing Issues,critical,resolved,Sarah Johnson,2024-03-05,2024-03-05,4,3.1,0,East,Logistics,4.2
36,ETL-2024-0036,Account Issues,medium,open,Priya Patel,2024-05-15,,48,,0,West,Retail,
37,ETL-2024-0037,Technical Problems,critical,in_progress,Mike Chen,2024-06-03,,4,,0,West,Retail,
38,ETL-2024-0038,Product Defects,critical,pending_customer,David Lee,2024-01-08,,4,,0,Central,Logistics,
39,ETL-2024-0039,Product Defects,low,resolved,Priya Patel,2024-07-25,2024-07-26,72,35.0,0,West,Retail,4.0
40,ETL-2024-0040,Customer Service Complaints,medium,closed,Emma Wilson,2024-07-21,2024-07-22,48,42.9,0,East,Telecom,3.1
41,ETL-2024-0041,Technical Problems,low,closed,David Lee,2024-05-16,2024-05-18,72,63.0,0,Central,Telecom,3.9
42,ETL-2024-0042,Customer Service Complaints,medium,closed,Carlos Ramos,2024-03-11,2024-03-17,48,160.3,1,North,Logistics,4.7
43,ETL-2024-0043,Technical Problems,medium,assigned,John Smith,2024-01-17,,48,,0,West,Healthcare,
44,ETL-2024-0044,Billing Issues,high,in_progress,Mike Chen,2024-03-05,,24,,0,West,Healthcare,
45,ETL-2024-0045,Service Disruption,medium,resolved,Emily Davis,2024-12-20,2024-12-21,48,32.7,0,East,Logistics,2.8
46,ETL-2024-0046,Delivery Delays,medium,in_progress,Sarah Johnson,2024-05-08,,48,,0,North,Healthcare,
47,ETL-2024-0047,Customer Service Complaints,high,closed,Sarah Johnson,2024-06-23,2024-06-23,24,16.3,0,West,Banking,3.1
